county,year,median_household_income
Alameda,2022,142800
Alpine,2022,94900
Amador,2022,86600
Butte,2022,85000
Calaveras,2022,90000
Colusa,2022,80300
Contra Costa,2022,142800
Del Norte,2022,80300
El Dorado,2022,102200
Fresno,2022,80300
Glenn,2022,80300
Humboldt,2022,80300
Imperial,2022,80300
Inyo,2022,82700
Kern,2022,80300
Kings,2022,80300
Lake,2022,80300
Lassen,2022,80300
Los Angeles,2022,91100
Madera,2022,80300
Marin,2022,166000
Mariposa,2022,80300
Mendocino,2022,80300
Merced,2022,80300
Modoc,2022,80300
Mono,2022,81200
Monterey,2022,90100
Napa,2022,119400
Nevada,2022,98400
Orange,2022,119100
Placer,2022,102200
Plumas,2022,82400
Riverside,2022,87400
Sacramento,2022,102200
San Benito,2022,105100
San Bernardino,2022,87400
San Diego,2022,106900
San Francisco,2022,166000
San Joaquin,2022,85000
San Luis Obispo,2022,109200
San Mateo,2022,166000
Santa Barbara,2022,100100
Santa Clara,2022,168500
Santa Cruz,2022,119300
Shasta,2022,89800
Sierra,2022,90000
Siskiyou,2022,80300
Solano,2022,108700
Sonoma,2022,112800
Stanislaus,2022,80300
Sutter,2022,80300
Tehama,2022,80300
Trinity,2022,80300
Tulare,2022,80300
Tuolumne,2022,84300
Ventura,2022,115400
Yolo,2022,106600
Yuba,2022,80300
